id,followers,username,time,last_child_time,Hop,Non_follower
1.2618E+18,261,Nicolas88002130,64656,64656,2,0
3014126537,1442,Lindo_Xolo,64656,667808,2,0
1.57983E+18,7,kiddlone_,64728,64728,1,1
1493544126,3245,UPTOYOUARREAGA,64728,64728,1,0
1.55967E+18,307,themajorOne1,64728,667808,2,0
1.27327E+18,74,SiiboEngland,64728,64728,1,0
1.227E+18,1024,BafanaLM,64728,64728,1,1
1310726346,1447,TrulyDivineP,64728,64728,2,0
153218957,126,Its_Carmell,64728,64728,1,0
8.01615E+17,40,Seren3Soul,64728,64728,2,0
1.17933E+18,574,SarpeiKelvin,64728,64728,1,0
1.24985E+18,1221,Queen_kimmi_1,64728,64728,1,0
2781081427,342,megmydiaa,64728,64728,1,0
7.50204E+17,281,SharclesDibeni,64800,64800,3,0
2263939459,323,TsunamiChulo,64800,64800,2,0
1.53124E+18,418,a_owolabee,64800,64800,2,0
8.82718E+17,131,champagnechunti,64800,64800,1,0
447571315,983,jessie_werner,64800,64800,1,0
3103930958,148,gharseeuh,64800,64800,1,1
9.18792E+17,48,BampoOsei,64800,64800,1,0
1.53569E+18,15,karabo_sefiri,64800,64800,1,1
1.03152E+18,164,CyrilNgqwala,64872,64872,1,0
1.63938E+18,36,alhasaaniu25807,64872,64872,3,0
4720896046,727,natnificient,64872,86938,1,0
7.39037E+17,6026,99_savage01,64872,667808,2,0
1.28733E+18,92,Big__Mars,64872,64872,3,0
9.55056E+17,1726,imole_music,64945,667808,2,0
1.58157E+18,15,JuiceGee23,64945,64945,2,0
1.10116E+18,199,_celistav,64945,64945,2,0
1.31542E+18,4304,Toyboi_dayz,64945,667808,2,0
1913376552,152,The_XiXEcHo,64945,64945,2,0
1.27572E+18,61,travis_6_dillon,64945,64945,1,0
1.23083E+18,648,_l0ladeee,64945,667808,2,0
2413200912,160,jessicastussy,64945,64945,1,0
2614936797,241,gswizzle_99,65017,65017,2,0
826926164,293,xo_bezerk,65017,65017,1,0
9.88251E+17,838,realflameo,65017,65017,2,0
1.59481E+18,57,Nell_CrawfordJr,65017,65017,1,0
1.515E+18,344,CliffordKaLumik,65017,667808,2,0
1877635124,479,brihaun1,65017,65017,1,1
362976843,447,shawnnaa_,65089,65089,1,0
1.12238E+18,1780,ChontoMapili,65089,667808,2,0
9.57967E+17,2828,Seanayooye12,65089,667808,2,0
