id,time,type,prev_id,Engagement_index,Hop,Non_follower
893253883992125444_1,37853,like,8.93254E+17,1,1,0
1.36221E+18,37853,like,1.36221E+18,0,2,1
559702708,37853,like,559702708,0,2,0
1.00338E+18,37853,like,1.00338E+18,0,2,0
1.06629E+18,37853,like,1.06629E+18,0,1,0
1726961670,37925,like,1726961670,0,1,0
1.52518E+18,37925,like,1.52518E+18,0,1,1
46817615_1,37925,like,46817615,1,1,0
739679706,37925,like,739679706,0,2,0
9.70214E+17,37925,like,9.70214E+17,0,1,0
1.33089E+18,37925,like,1.33089E+18,0,1,0
2278376239,37925,like,2278376239,0,1,0
9.65691E+17,37925,like,9.65691E+17,0,1,0
1.02805E+18,37925,like,1.02805E+18,0,2,0
1.61987E+18,37925,like,1.61987E+18,0,2,0
1.58287E+18,37925,like,1.58287E+18,0,3,0
1406519627690221569_1,37925,like,1.40652E+18,1,2,0
797580819120406528_2,37925,like,7.97581E+17,2,1,0
1.02249E+18,37925,like,1.02249E+18,0,1,1
2583360538,37925,like,2583360538,0,1,1
1.24713E+18,37925,like,1.24713E+18,0,2,0
756337496,37925,like,756337496,0,1,0
1.33353E+18,37925,like,1.33353E+18,0,1,0
2839418206,37925,like,2839418206,0,1,0
2200936905,37925,like,2200936905,0,2,0
1186748222544515072_1,37925,like,1.18675E+18,1,2,0
1.62989E+18,37925,like,1.62989E+18,0,1,0
1.46359E+18,37925,like,1.46359E+18,0,2,0
494497814,37998,like,494497814,0,2,0
1.23565E+18,37998,like,1.23565E+18,0,2,0
1278029430296895491_1,37998,like,1.27803E+18,1,2,0
401276744,37998,like,401276744,0,1,0
1195794974568255488_1,37998,like,1.19579E+18,1,2,0
9.62725E+17,37998,like,9.62725E+17,0,1,0
1.30958E+18,37998,like,1.30958E+18,0,2,0
8.42711E+17,37998,like,8.42711E+17,0,1,0
1.24768E+18,37998,like,1.24768E+18,0,3,0
4228523894,37998,like,4228523894,0,1,0
1.57012E+18,37998,like,1.57012E+18,0,2,0
1631547350,37998,like,1631547350,0,1,0
554538775_1,37998,like,554538775,1,1,0
620639126,37998,like,620639126,0,1,0
7.5588E+17,37998,like,7.5588E+17,0,1,1
3074599581,37998,like,3074599581,0,2,0
1.4867E+18,37998,like,1.4867E+18,0,2,0
1677219920,37998,like,1677219920,0,1,1
1.50774E+18,37998,like,1.50774E+18,0,1,1
8.81267E+17,37998,like,8.81267E+17,0,1,1
1243856148228378624_1,37998,like,1.24386E+18,1,2,0
1.54792E+18,37998,like,1.54792E+18,0,2,0
1.56101E+18,37998,like,1.56101E+18,0,2,0
404204565,37998,like,404204565,0,2,0
1.27629E+18,37998,like,1.27629E+18,0,2,0
1.11033E+18,37998,like,1.11033E+18,0,2,0
1.24881E+18,37998,like,1.24881E+18,0,1,1
1.17952E+18,38070,like,1.17952E+18,0,1,0
2285890801,38070,like,2285890801,0,2,0
7.08345E+17,38070,like,7.08345E+17,0,2,0
1.54847E+18,38070,like,1.54847E+18,0,3,0
1.16104E+18,38070,like,1.16104E+18,0,2,0
1.38926E+18,38070,like,1.38926E+18,0,2,0
1.57484E+18,38070,like,1.57484E+18,0,1,1
1.07608E+18,38070,like,1.07608E+18,0,1,1
1.02993E+18,38070,like,1.02993E+18,0,1,0
1046439499553738752_1,38070,like,1.04644E+18,1,3,0
1.15351E+18,38070,like,1.15351E+18,0,1,0
1.6325E+18,38070,like,1.6325E+18,0,1,0
1.12753E+18,38070,like,1.12753E+18,0,3,0
278495967,38070,like,278495967,0,2,0
9.58983E+17,38070,like,9.58983E+17,0,2,0
136950780,38070,like,136950780,0,1,0
952701697599524864_1,38070,like,9.52702E+17,1,2,0
258523738,38070,like,258523738,0,1,1
7.3818E+17,38070,like,7.3818E+17,0,1,0
324740556,38070,like,324740556,0,1,1
1.34329E+18,38070,like,1.34329E+18,0,5,0
9.50575E+17,38070,like,9.50575E+17,0,1,0
1.31567E+18,38070,like,1.31567E+18,0,2,1
8.70296E+17,38070,like,8.70296E+17,0,1,0
9.26274E+17,38070,like,9.26274E+17,0,1,0
3374649305,38143,like,3374649305,0,2,0
7.47552E+17,38143,like,7.47552E+17,0,2,0
631284154,38143,like,631284154,0,2,0
53497703,38143,like,53497703,0,1,0
774845688,38143,like,774845688,0,1,0
1.0928E+18,38143,like,1.0928E+18,0,1,0
71420584,38143,like,71420584,0,1,0
1268168854498353153_1,38143,like,1.26817E+18,1,1,0
2359571024,38143,like,2359571024,0,1,0
1.26656E+18,38143,like,1.26656E+18,0,2,0
1.59693E+18,38143,like,1.59693E+18,0,1,1
1583342682_1,38143,like,1583342682,1,1,0
1.40952E+18,38143,like,1.40952E+18,0,1,0
1.15619E+18,38143,like,1.15619E+18,0,2,0
7.40829E+17,38143,like,7.40829E+17,0,1,0
50905342,38143,like,50905342,0,2,0
1294406146317602818_1,38143,like,1.29441E+18,1,1,0
1.0361E+18,38143,like,1.0361E+18,0,1,0
9.54117E+17,38143,like,9.54117E+17,0,1,0
1.27294E+18,38143,like,1.27294E+18,0,2,0
923213443,38143,like,923213443,0,1,0
8.74309E+17,38143,like,8.74309E+17,0,3,0
1.40273E+18,38143,like,1.40273E+18,0,1,1
2567741060,38143,like,2567741060,0,1,1
1082539542442323968_1,38143,like,1.08254E+18,1,1,0
1.41478E+18,38143,like,1.41478E+18,0,1,1
1.40968E+18,38143,like,1.40968E+18,0,1,1
4241688443,38143,like,4241688443,0,1,0
320453267,38143,like,320453267,0,1,0
1.26252E+18,38143,like,1.26252E+18,0,2,0
1.49027E+18,38143,like,1.49027E+18,0,2,0
9.86663E+17,38143,like,9.86663E+17,0,1,0
257195916_1,38143,like,257195916,1,1,0
399011726,38215,like,399011726,0,2,0
990551324_1,38215,like,990551324,1,1,0
956718205,38215,like,956718205,0,1,0
932960971752181761_1,38215,like,9.32961E+17,1,1,0
2371297340,38215,like,2371297340,0,1,0
1.58831E+18,38215,like,1.58831E+18,0,1,0
1121162332565118976_1,38215,like,1.12116E+18,1,2,0
1.51537E+18,38215,like,1.51537E+18,0,2,0
1148157599986176002_1,38215,like,1.14816E+18,1,1,0
918780297109368851_1,38215,like,9.1878E+17,1,1,0
1.24358E+18,38215,like,1.24358E+18,0,2,0
293144734,38215,like,293144734,0,2,0
1.54747E+18,38215,like,1.54747E+18,0,1,0
1.44225E+18,38215,like,1.44225E+18,0,3,0
1015699922,38215,like,1015699922,0,2,0
160043878,38215,like,160043878,0,2,0
1.54716E+18,38215,like,1.54716E+18,0,1,1
386878987,38215,like,386878987,0,2,0
1515377239692558340_1,38215,like,1.51538E+18,1,2,0
807289491958497280_1,38215,like,8.07289E+17,1,2,0
1.62091E+18,38215,like,1.62091E+18,0,2,0
7.73176E+17,38215,like,7.73176E+17,0,1,0
9.05497E+17,38215,like,9.05497E+17,0,2,0
189981009,38215,like,189981009,0,2,0
2198074551,38215,like,2198074551,0,1,0
1.5762E+18,38215,like,1.5762E+18,0,1,1
516867200,38215,like,516867200,0,1,0
1.14112E+18,38287,like,1.14112E+18,0,2,0
1.47526E+18,38287,like,1.47526E+18,0,2,0
2888946897,38287,like,2888946897,0,3,0
1541327904038060032_1,38287,like,1.54133E+18,1,2,0
1426054890556518406_1,38287,like,1.42605E+18,1,2,0
8.81517E+17,38287,like,8.81517E+17,0,2,0
1.51049E+18,38287,like,1.51049E+18,0,1,1
3879704357,38287,like,3879704357,0,1,0
1.54471E+18,38287,like,1.54471E+18,0,2,0
7.29513E+17,38287,like,7.29513E+17,0,1,1
1934357748,38287,like,1934357748,0,1,1
1289834240,38287,like,1289834240,0,1,0
2161961233,38287,like,2161961233,0,1,0
2468126028,38287,like,2468126028,0,2,0
335112723,38287,like,335112723,0,1,0
1.30282E+18,38287,like,1.30282E+18,0,2,0
1.17393E+18,38287,like,1.17393E+18,0,3,0
2559809895,38287,like,2559809895,0,1,0
3171306047,38287,like,3171306047,0,1,0
1.13452E+18,38287,like,1.13452E+18,0,2,0
2343527594,38287,like,2343527594,0,2,0
9.69345E+17,38360,like,9.69345E+17,0,1,0
1.00507E+18,38360,like,1.00507E+18,0,2,0
1.57322E+18,38360,like,1.57322E+18,0,1,0
2760870346,38360,like,2760870346,0,1,0
590483671,38360,like,590483671,0,1,0
1697432784,38360,like,1697432784,0,2,0
1.35489E+18,38360,like,1.35489E+18,0,2,0
1.45698E+18,38360,like,1.45698E+18,0,1,1
1.33611E+18,38360,like,1.33611E+18,0,1,1
2186791871,38360,like,2186791871,0,1,0
995744948,38360,like,995744948,0,1,0
1.36972E+18,38360,like,1.36972E+18,0,1,0
576728807,38360,like,576728807,0,1,1
4145794563_1,38360,like,4145794563,1,1,0
2185029909,38360,like,2185029909,0,1,0
1.19849E+18,38360,like,1.19849E+18,0,1,1
2920891515,38360,like,2920891515,0,2,0
318065458,38360,like,318065458,0,3,0
443342564,38360,like,443342564,0,1,0
85783781,38360,like,85783781,0,3,0
7.1391E+17,38360,like,7.1391E+17,0,1,0
1618261562095202306_1,38360,like,1.61826E+18,1,1,0
1197064795037392896_1,38360,like,1.19706E+18,1,2,0
4125390914,38360,like,4125390914,0,2,0
1.30644E+18,38432,like,1.30644E+18,0,3,0
1.55563E+18,38432,like,1.55563E+18,0,1,0
8.85187E+17,38432,like,8.85187E+17,0,2,0
1344879759449325569_1,38432,like,1.34488E+18,1,3,0
1431912685483012103_1,38432,like,1.43191E+18,1,2,0
1125813492278280192_1,38432,like,1.12581E+18,1,1,0
1.2037E+18,38432,like,1.2037E+18,0,1,1
1.2864E+18,38432,like,1.2864E+18,0,1,0
976448250025783296_1,38432,like,9.76448E+17,1,2,0
2955285346,38432,like,2955285346,0,1,1
3105299589_1,38432,like,3105299589,1,1,0
1.39142E+18,38432,like,1.39142E+18,0,1,1
4675847652,38432,like,4675847652,0,1,1
251238030,38432,like,251238030,0,1,0
1101976898152861697_1,38432,like,1.10198E+18,1,1,0
2465107452,38432,like,2465107452,0,1,0
1.35282E+18,38432,like,1.35282E+18,0,3,0
9.56733E+17,38432,like,9.56733E+17,0,2,0
1.21612E+18,38432,like,1.21612E+18,0,2,0
1.61722E+18,38432,like,1.61722E+18,0,1,1
117250689_1,38432,like,117250689,1,1,0
1.06968E+18,38432,like,1.06968E+18,0,1,1
2443802028,38432,like,2443802028,0,1,1
1463370912_1,38432,like,1463370912,1,2,0
1.32357E+18,38432,like,1.32357E+18,0,2,0
1.0833E+18,38432,like,1.0833E+18,0,2,0
1.41933E+18,38432,like,1.41933E+18,0,1,0
1.45082E+18,38432,like,1.45082E+18,0,1,1
1.46064E+18,38432,like,1.46064E+18,0,1,0
1.61569E+18,38505,like,1.61569E+18,0,1,1
719712009214902272_1,38505,like,7.19712E+17,1,2,0
1.08129E+18,38505,like,1.08129E+18,0,1,1
2347239181,38505,like,2347239181,0,1,0
1272788335,38505,like,1272788335,0,2,0
2750659044,38505,like,2750659044,0,1,1
1.34051E+18,38505,like,1.34051E+18,0,1,0
1.42503E+18,38505,like,1.42503E+18,0,3,0
1.06168E+18,38505,like,1.06168E+18,0,2,0
1.13128E+18,38505,like,1.13128E+18,0,2,0
2245035852,38505,like,2245035852,0,1,0
1.31048E+18,38505,like,1.31048E+18,0,2,0
1.41038E+18,38505,like,1.41038E+18,0,1,1
1.0259E+18,38505,like,1.0259E+18,0,1,1
1357128758,38505,like,1357128758,0,2,0
133815134,38505,like,133815134,0,1,0
3174451178,38505,like,3174451178,0,2,0
1.21651E+18,38505,like,1.21651E+18,0,1,1
1.31114E+18,38505,like,1.31114E+18,0,4,0
1.03986E+18,38505,like,1.03986E+18,0,2,0
7.11383E+17,38505,like,7.11383E+17,0,2,0
3968804591,38505,like,3968804591,0,2,0
7.70984E+17,38505,like,7.70984E+17,0,1,1
2497880242,38505,like,2497880242,0,1,1
882456367,38505,like,882456367,0,1,0
1499935823541596160_1,38505,like,1.49994E+18,1,2,0
1.02163E+18,38505,like,1.02163E+18,0,1,0
150526119,38505,like,150526119,0,1,0
1138997034894155778_1,38577,like,1.139E+18,1,1,0
4127462375,38577,like,4127462375,0,2,0
1.13878E+18,38577,like,1.13878E+18,0,3,0
8.30383E+17,38577,like,8.30383E+17,0,2,0
100928332,38577,like,100928332,0,1,0
27081646,38577,like,27081646,0,1,0
1.3102E+18,38577,like,1.3102E+18,0,2,0
2203048073_1,38577,like,2203048073,1,1,0
1.56464E+18,38577,like,1.56464E+18,0,2,0
1.50658E+18,38577,like,1.50658E+18,0,1,1
1479586778713505793_1,38577,like,1.47959E+18,1,3,0
4890500944,38577,like,4890500944,0,1,0
9.48382E+17,38577,like,9.48382E+17,0,1,0
1642194691,38577,like,1642194691,0,1,1
422991457_1,38577,like,422991457,1,2,0
1059272042,38577,like,1059272042,0,2,0
1.40046E+18,38577,like,1.40046E+18,0,2,0
1.31677E+18,38577,like,1.31677E+18,0,1,0
1047644988295794688_1,38577,like,1.04764E+18,1,1,0
1.26612E+18,38577,like,1.26612E+18,0,4,0
922459586740834304_1,38577,like,9.2246E+17,1,2,0
7.54811E+17,38577,like,7.54811E+17,0,1,0
8.82226E+17,38577,like,8.82226E+17,0,3,0
9.39809E+17,38577,like,9.39809E+17,0,2,0
9.15657E+17,38577,like,9.15657E+17,0,1,0
468727832_1,38577,like,468727832,1,1,0
1656254137,38577,like,1656254137,0,1,0
9.00637E+17,38649,like,9.00637E+17,0,2,0
3400342132,38649,like,3400342132,0,2,0
9.69988E+17,38649,like,9.69988E+17,0,1,0
163282651,38649,like,163282651,0,1,0
9.29572E+17,38649,like,9.29572E+17,0,2,0
4198842312,38649,like,4198842312,0,1,0
1841706061,38649,like,1841706061,0,1,0
1.15016E+18,38649,like,1.15016E+18,0,1,0
1.23738E+18,38649,like,1.23738E+18,0,1,1
1679507888,38649,like,1679507888,0,2,0
242485272,38649,like,242485272,0,1,0
